# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
     37   2.556921e+00   4.285454e-02   2.708262e+00   1.141267e-08   3.120458e-01
     38   2.612269e+00   4.458577e-02   2.654877e+00   1.180254e-08   3.120458e-01
     39   2.668730e+00   4.638694e-02   2.602565e+00   1.220607e-08   3.120458e-01
     40   2.726325e+00   4.826089e-02   2.551304e+00   1.262392e-08   3.120458e-01
     41   2.785078e+00   5.021054e-02   2.501073e+00   1.305675e-08   3.120458e-01
     42   2.845011e+00   5.223897e-02   2.451852e+00   1.350524e-08   3.120458e-01
     43   2.906147e+00   5.434935e-02   2.403620e+00   1.397008e-08   3.120458e-01
     44   2.968509e+00   5.654500e-02   2.356358e+00   1.445197e-08   3.120458e-01
     45   3.032123e+00   5.882936e-02   2.310046e+00   1.495165e-08   3.120457e-01
     46   3.097012e+00   6.120602e-02   2.264667e+00   1.546987e-08   3.120457e-01
     47   3.163201e+00   6.367871e-02   2.220202e+00   1.600739e-08   3.120457e-01
     48   3.230715e+00   6.625131e-02   2.176634e+00   1.656502e-08   3.120457e-01
     49   3.299581e+00   6.892785e-02   2.133946e+00   1.714358e-08   3.120457e-01
     50   3.369825e+00   7.171254e-02   2.092121e+00   1.774391e-08   3.120457e-01
     51   3.441473e+00   7.460976e-02   2.051142e+00   1.836688e-08   3.120457e-01
     52   3.514553e+00   7.762404e-02   2.010996e+00   1.901339e-08   3.120456e-01
     53   3.589091e+00   8.076013e-02   1.971665e+00   1.968437e-08   3.120456e-01
     54   3.665116e+00   8.402295e-02   1.933136e+00   2.038079e-08   3.120456e-01
     55   3.742657e+00   8.741762e-02   1.895394e+00   2.110362e-08   3.120456e-01
     56   3.821741e+00   9.094948e-02   1.858425e+00   2.185389e-08   3.120456e-01
# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   1.124729e+00   9.900990e-03   5.696668e+00   0.000000e+00   3.120460e-01
      1   1.127360e+00   9.940633e-03   5.684972e+00   4.683809e-11   3.120460e-01
      2   1.153728e+00   1.034212e-02   5.570429e+00   5.248735e-10   3.120460e-01
      3   1.180637e+00   1.075983e-02   5.458308e+00   9.692387e-10   3.120460e-01
      4   1.208099e+00   1.119441e-02   5.348552e+00   1.384425e-09   3.120460e-01
      5   1.236124e+00   1.164655e-02   5.241104e+00   1.773760e-09   3.120460e-01
      6   1.264725e+00   1.211696e-02   5.135911e+00   2.140244e-09   3.120460e-01
      7   1.293910e+00   1.260637e-02   5.032919e+00   2.486600e-09   3.120460e-01
      8   1.323694e+00   1.311555e-02   4.932079e+00   2.815312e-09   3.120460e-01
      9   1.354086e+00   1.364530e-02   4.833340e+00   3.128643e-09   3.120460e-01
     10   1.385099e+00   1.419646e-02   4.736654e+00   3.428663e-09   3.120460e-01
     11   1.416745e+00   1.476988e-02   4.641975e+00   3.717268e-09   3.120460e-01
     12   1.449036e+00   1.536647e-02   4.549256e+00   3.996199e-09   3.120460e-01
     13   1.481986e+00   1.598716e-02   4.458453e+00   4.267054e-09   3.120460e-01
     14   1.515607e+00   1.663293e-02   4.369524e+00   4.531306e-09   3.120460e-01
     15   1.549911e+00   1.730478e-02   4.282426e+00   4.790316e-09   3.120460e-01
     16   1.584914e+00   1.800378e-02   4.197119e+00   5.045342e-09   3.120460e-01
     17   1.620628e+00   1.873102e-02   4.113562e+00   5.297553e-09   3.120460e-01
     18   1.657068e+00   1.948764e-02   4.031718e+00   5.548038e-09   3.120460e-01
     19   1.694247e+00   2.027482e-02   3.951547e+00   5.797811e-09   3.120460e-01
     20   1.732180e+00   2.109381e-02   3.873015e+00   6.047825e-09   3.120459e-01
     21   1.770883e+00   2.194589e-02   3.796085e+00   6.298976e-09   3.120459e-01
     22   1.810370e+00   2.283239e-02   3.720722e+00   6.552110e-09   3.120459e-01
     23   1.850657e+00   2.375470e-02   3.646892e+00   6.808027e-09   3.120459e-01
     24   1.891760e+00   2.471428e-02   3.574563e+00   7.067492e-09   3.120459e-01
     25   1.933694e+00   2.571262e-02   3.503702e+00   7.331235e-09   3.120459e-01
     26   1.976476e+00   2.675130e-02   3.434277e+00   7.599959e-09   3.120459e-01
     27   2.020123e+00   2.783194e-02   3.366259e+00   7.874341e-09   3.120459e-01
     28   2.064652e+00   2.895623e-02   3.299617e+00   8.155038e-09   3.120459e-01
     29   2.110080e+00   3.012596e-02   3.234322e+00   8.442693e-09   3.120459e-01
     30   2.156426e+00   3.134293e-02   3.170345e+00   8.737933e-09   3.120459e-01
     31   2.203707e+00   3.260908e-02   3.107660e+00   9.041376e-09   3.120459e-01
