# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
     72   4.976285e+00   4.075071e-02   2.777701e+00   8.621615e-09   3.120459e-01
     73   5.030249e+00   4.156977e-02   2.750036e+00   8.773629e-09   3.120459e-01
     74   5.084756e+00   4.240530e-02   2.722651e+00   8.928228e-09   3.120459e-01
     75   5.139811e+00   4.325762e-02   2.695544e+00   9.085475e-09   3.120459e-01
     76   5.195420e+00   4.412707e-02   2.668712e+00   9.245436e-09   3.120459e-01
     77   5.251588e+00   4.501401e-02   2.642153e+00   9.408172e-09   3.120459e-01
     78   5.308320e+00   4.591876e-02   2.615863e+00   9.573751e-09   3.120459e-01
     79   5.365623e+00   4.684171e-02   2.589840e+00   9.742236e-09   3.120458e-01
     80   5.423502e+00   4.778320e-02   2.564082e+00   9.913694e-09   3.120458e-01
     81   5.481962e+00   4.874363e-02   2.538584e+00   1.008819e-08   3.120458e-01
     82   5.541009e+00   4.972335e-02   2.513345e+00   1.026580e-08   3.120458e-01
     83   5.600649e+00   5.072277e-02   2.488363e+00   1.044658e-08   3.120458e-01
     84   5.660888e+00   5.174228e-02   2.463634e+00   1.063061e-08   3.120458e-01
     85   5.721732e+00   5.278228e-02   2.439156e+00   1.081795e-08   3.120458e-01
     86   5.783186e+00   5.384319e-02   2.414927e+00   1.100868e-08   3.120458e-01
     87   5.845256e+00   5.492542e-02   2.390943e+00   1.120288e-08   3.120458e-01
     88   5.907950e+00   5.602940e-02   2.367204e+00   1.140060e-08   3.120458e-01
     89   5.971272e+00   5.715558e-02   2.343705e+00   1.160193e-08   3.120458e-01
     90   6.035229e+00   5.830439e-02   2.320446e+00   1.180694e-08   3.120458e-01
     91   6.099827e+00   5.947630e-02   2.297422e+00   1.201571e-08   3.120458e-01
     92   6.165072e+00   6.067176e-02   2.274633e+00   1.222832e-08   3.120458e-01
     93   6.230971e+00   6.189125e-02   2.252076e+00   1.244484e-08   3.120458e-01
     94   6.297530e+00   6.313526e-02   2.229748e+00   1.266536e-08   3.120458e-01
     95   6.364756e+00   6.440427e-02   2.207648e+00   1.288995e-08   3.120458e-01
     96   6.432655e+00   6.569879e-02   2.185773e+00   1.311870e-08   3.120458e-01
     97   6.501233e+00   6.701933e-02   2.164121e+00   1.335169e-08   3.120458e-01
     98   6.570497e+00   6.836642e-02   2.142690e+00   1.358901e-08   3.120457e-01
     99   6.640454e+00   6.974058e-02   2.121478e+00   1.383074e-08   3.120457e-01
    100   6.711111e+00   7.114237e-02   2.100482e+00   1.407697e-08   3.120457e-01
    101   6.782473e+00   7.257234e-02   2.079701e+00   1.432780e-08   3.120457e-01
    102   6.854549e+00   7.403105e-02   2.059133e+00   1.458330e-08   3.120457e-01
